DATA;ESTADO;CASOS NOVOS;CASOS TOTAIS;ÓBITOS NOVOS;ÓBITOS TOTAIS;;;;
16/07/2022;SP;0;217;0;0;;;;
16/07/2022;SE;0;0;0;0;;;;
16/07/2022;TO;0;0;0;0;;;;
17/07/2022;AC;0;0;0;0;;;;
17/07/2022;AL;0;0;0;0;;;;
17/07/2022;AP;0;0;0;0;;;;
17/07/2022;AM;0;0;0;0;;;;
17/07/2022;BA;0;2;0;0;;;;
17/07/2022;CE;0;3;0;0;;;;
17/07/2022;DF;0;4;0;0;;;;
17/07/2022;ES;0;1;0;0;;;;
17/07/2022;GO;0;4;0;0;;;;
17/07/2022;MA;0;0;0;0;;;;
17/07/2022;MT;0;0;0;0;;;;
17/07/2022;MS;0;0;0;0;;;;
17/07/2022;MG;0;22;0;0;;;;
17/07/2022;PA;0;0;0;0;;;;
17/07/2022;PB;0;0;0;0;;;;
17/07/2022;PR;0;6;0;0;;;;
17/07/2022;PE;0;1;0;0;;;;
17/07/2022;PI;0;0;0;0;;;;
17/07/2022;RJ;0;45;0;0;;;;
17/07/2022;RN;0;3;0;0;;;;
17/07/2022;RS;0;3;0;0;;;;
17/07/2022;RO;0;0;0;0;;;;
17/07/2022;RR;0;0;0;0;;;;
17/07/2022;SC;0;1;0;0;;;;
17/07/2022;SP;0;217;0;0;;;;
17/07/2022;SE;0;0;0;0;;;;
17/07/2022;TO;0;0;0;0;;;;
18/07/2022;AC;0;0;0;0;;;;
18/07/2022;AL;0;0;0;0;;;;
18/07/2022;AP;0;0;0;0;;;;
18/07/2022;AM;0;0;0;0;;;;
18/07/2022;BA;0;2;0;0;;;;
18/07/2022;CE;0;3;0;0;;;;
18/07/2022;DF;0;4;0;0;;;;
18/07/2022;ES;0;1;0;0;;;;
18/07/2022;GO;0;4;0;0;;;;
18/07/2022;MA;0;0;0;0;;;;
18/07/2022;MT;0;0;0;0;;;;
18/07/2022;MS;0;0;0;0;;;;
18/07/2022;MG;0;22;0;0;;;;
18/07/2022;PA;0;0;0;0;;;;
18/07/2022;PB;0;0;0;0;;;;
18/07/2022;PR;0;6;0;0;;;;
18/07/2022;PE;0;1;0;0;;;;
18/07/2022;PI;0;0;0;0;;;;
18/07/2022;RJ;0;45;0;0;;;;
18/07/2022;RN;0;3;0;0;;;;
18/07/2022;RS;0;3;0;0;;;;
18/07/2022;RO;0;0;0;0;;;;
18/07/2022;RR;0;0;0;0;;;;
18/07/2022;SC;0;1;0;0;;;;
18/07/2022;SP;0;217;0;0;;;;
18/07/2022;SE;0;0;0;0;;;;
18/07/2022;TO;0;0;0;0;;;;
19/07/2022;AC;0;0;0;0;;;;
19/07/2022;AL;0;0;0;0;;;;
19/07/2022;AP;0;0;0;0;;;;
19/07/2022;AM;0;0;0;0;;;;
19/07/2022;BA;1;3;0;0;;;;
19/07/2022;CE;-1;2;0;0;;;;
19/07/2022;DF;4;8;0;0;;;;
19/07/2022;ES;1;2;0;0;;;;
19/07/2022;GO;0;4;0;0;;;;
19/07/2022;MA;0;0;0;0;;;;
19/07/2022;MT;0;0;0;0;;;;
19/07/2022;MS;1;1;0;0;;;;
19/07/2022;MG;11;33;0;0;;;;
19/07/2022;PA;0;0;0;0;;;;
19/07/2022;PB;0;0;0;0;;;;
19/07/2022;PR;0;6;0;0;;;;
19/07/2022;PE;0;1;0;0;;;;
19/07/2022;PI;0;0;0;0;;;;
19/07/2022;RJ;26;71;0;0;;;;
19/07/2022;RN;-1;2;0;0;;;;
19/07/2022;RS;0;3;0;0;;;;
19/07/2022;RO;0;0;0;0;;;;
19/07/2022;RR;0;0;0;0;;;;
19/07/2022;SC;0;1;0;0;;;;
